,country,published_date,info
0,AFGHANISTAN, -- published 24.04.2020,"Flights to Afghanistan are suspended.
- This does not apply to repatriation flights that bring back nationals of Afghanistan.
"
0,ALBANIA, - published 29.04.2020 ,"Flights to Albania are suspended.
- This does not apply to flights operated by Air Albania (ZB) from/to Istanbul (IST).
- This does not apply to repatriation and emergency flights. 
"
0,ALGERIA, -- published 17.04.2020,"Flights to Algeria are suspended.
"
0,ANGOLA, - published 07.05.2020 ,"1. Passengers who have been in China (People's Rep.), France, Iran, Italy, Korea (Rep.), Portugal or Spain are not allowed to enter Angola. 
- This does not apply to nationals and residents of Angola.
2. Airline crew, nationals and residents of Angola who arrive from or have been in China (People's Rep.), France, Iran, Italy, Korea (Rep.), Portugal or Spain will be put in quarantine. 
3. A completed sanitary control sheet must be presented to the Ministry of Health upon arrival.
"
0,ANGUILLA, -- published 07.04.2020,"Airports in Anguilla are closed. 
"
0,ANTIGUA AND BARBUDA, - published 23.04.2020 ,"1. Flights to Antigua and Barbuda are suspended.
- This does not apply to flights with a special approval.
2. Passengers must be quarantined for 14 days. 
- This does not apply to passengers arriving from the Dominican Rep. 
3. Passengers arriving from the Dominican Rep. must undergo a 14 days quarantine before departure, and a 14 days quarantine upon arrival in Antigua and Barbuda. 
"
0,ARGENTINA, -- published 07.05.2020 ,"1. Passengers are not allowed to enter Argentina.
- This does not apply to nationals and residents of Argentina.
2. Airlines operating repatriation flights must send passenger's information to ANAC 12 hours before departure. This information must contain passenger list with travel document numbers, phone number and address where each person declares that they will comply with the mandatory quarantine upon arrival.
"
0,ARMENIA, - published 17.04.2020 ,"1. Passengers are not allowed to enter Armenia.
- This does not apply to:
- nationals and residents of Armenia;
- immediate family members of nationals of Armenia;
- diplomats and their immediate family members.
2. Passengers who are allowed to enter Armenia are subject to a 14 day quarantine.
"
0,ARUBA, -- published 21.04.2020 ,"Passengers are not allowed to enter Aruba. 
- This does not apply to:
- legal residents of Aruba with prior authorization;
- special circumstances to non-resident passengers which are granted upon request . e.g. medical personnel;
- medevac flights, humanitarian flights, transit/transfer flights with prior approval from the DCA Aruba.
"
0,AUSTRALIA, - published 29.04.2020 ,"1. Passengers are not allowed to transit or enter Australia. 
- This does not apply to nationals of Australia. 
- This does not apply to the immediate family members of nationals of Australia. 
- This does not apply to permanent residents of Australia and their immediate family members. 
- This does not apply to nationals of New Zealand residing in Australia. 
- This does not apply to diplomats accredited to Australia and currently resident in Australia, and their immediate family members.
- This does not apply to nationals of Fiji, Kiribati, Marshall Isl., Micronesia (Federated States), Nauru, New Zealand, Niue, Palau, Papua New Guinea, Samoa (American), Solomon Isl., Tonga, Tuvalu and Vanuatu when they are transiting through Australia to their home country.
- This does not apply to passengers who reside in Cook Isl., French Polynesia or New Caledonia when they are transiting through Australia to their home country. 
2. Passengers and airline crew are required to self-isolate for a period of 14 days at their first arrival location in Australia. If their duration of stay is less than 14 days, they must self-isolate for the entire duration of stay.
- This does not apply to airline crew with the appropriate personal protective equipment.
3. Airline crew who are nationals or residents of Australia must self-isolate at their place of residence (or hotel) between flights, or for 14 days, whichever is shorter.
Airline crew who are not nationals or residents of Australia must self-isolate in their hotel on arrival until their next flight.
4. Passengers will be provided with an Incoming Passenger Card (IPC) and an Isolation Declaration Card. They are subject to health screening on arrival.
5. For repatriation charter flights, airlines are advised to contact the Australian Border Force (ABF) at 
 as early as possible in the planning process. Airlines should not confirm or schedule flights before discussing arrangements with the ABF repatriation team.
"
0,AUSTRIA, - published 18.04.2020 ,"1. Passengers arriving from a non-Schengen Member State are not allowed to enter Austria. 
- This does not apply to nationals of Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden and Switzerland. 
- This does not apply to passengers with a British passport. 
- This does not apply to residents of Austria. 
- This does not apply to passengers with a ""D"" visa issued by Austria. 
- This does not apply to passengers with a medical certificate dated from a maximum of 4 days before their arrival in Austria. The medical certificate must confirm that the person is not affected by Coronavirus (COVID-19), and be in German or in English. 
- This does not apply to:
a. passengers traveling on diplomatic missions and their family members if living in the same household, and
b. employees of international organisations and their family members if living in the same household, and
c. humanitarian workers, and 
d. healthcare professionals, and
e. crew members of emergency, rescue/ambulance or ferry flights. 
2. Nationals of Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden and Switzerland must self-quarantine for 14 days and this must be confirmed by signature. This does not apply if their immediate departure is ensured. 
3. Passengers with a British passport must self-quarantine for 14 days and this must be confirmed by signature. This does not apply if their immediate departure is ensured.
4. Residents of Austria and passengers with a ""D"" visa issued by Austria must self-quarantine for 14 days and this must be confirmed by signature. This does not apply if their immediate departure is ensured.
"
0,AZERBAIJAN, - published 22.03.2020 ,"1. Passengers are not allowed to enter Azerbaijan.
- This does not apply to nationals and residents of Azerbaijan.
- This does not apply to passengers with a work permit issued by Azerbaijan.
- This does not apply to passengers with a special permission issued by the government of Azerbaijan.
2. A completed Public Health Passenger Locator Form must be presented upon arrival.
3. Passengers will be tested for Coronavirus (COVID-19) and placed in quarantine for 14 days.
4. The issuance of e-visas and visa on arrival has been suspended.
"
0,BAHAMAS, -- published 17.04.2020 ,"Bahamas borders are closed. 
"
0,BAHRAIN, - published 19.03.2020 ,"1. Visa on arrival has been suspended.
- This does not apply to passengers with a diplomatic, an official, a service or UN passport.
2. Passengers who have been in Austria, Belgium, China (People's Rep.), Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, Iraq, Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom and USA in the past 14 days are not allowed to transit and enter Bahrain. 
- This does not apply to nationals of Bahrain, Kuwait, Oman, Qatar, Saudi Arabia and United Arab Emirates. 
- This does not apply to passengers who reside in Bahrain.
- This does not apply to military personnel. 
- This does not apply to passengers with a special approval from Nationality, Passport Residence Affairs Directorate of Bahrain. 
- This does not apply to passengers with a valid letter of Prior Permission Granted which is presented prior to boarding. 
3. Passengers who have been in Hong Kong (SAR China), Italy, Japan, Lebanon, Malaysia, Singapore or Thailand in the past 14 days must have a valid visa prior to arrival. 
- This does not apply to nationals of Bahrain, Kuwait, Oman, Qatar, Saudi Arabia and United Arab Emirates. 
- This does not apply to passengers who reside in Bahrain. 
- This does not apply to passengers with a valid letter of Prior Permission Granted which is presented prior to boarding.
4. All passengers arriving in Bahrain will immediately be taken to undergo enhanced testing procedures as a preventative measure for Coronavirus (COVID-19) and will be subject to quarantine.
5. Border crossing on the causeway has been temporarily suspended due to Coronavirus (COVID-19). 
"
0,BANGLADESH, - published 06.05.2020 ,"1. The visa on arrival facility has been suspended for all nationalities.
2. Flights from Bahrain, Bhutan, Hong Kong (SAR China), India, Kuwait, Malaysia, Maldives, Nepal, Oman, Qatar, Saudi Arabia, Sri Lanka, Singapore, Thailand, Turkey, United Arab Emirates and the United Kingdom are suspended.
3. Passengers who have a valid visa must show a medical certificate (with English translation) obtained within 72 hours of travel. The medical certificate must be submitted upon arrival and must indicate that the passenger does not have any symptoms of Coronavirus (COVID-19).
4. Passengers with Bangladesh origin who do not submit a medical certificate stating that the passenger does not have any symptoms of Coronavirus (COVID-19), will be institutionally quarantined in Dhaka for 14 days.
5. Passengers with Bangladesh origin who submits a medical certificate stating that the passenger does not have any symptoms of Coronavirus (COVID-19), will be home quarantined in Dhaka for 14 days. If the medical certificate shows that the passenger has symptoms of Coronavirus (COVID-19), they will be institutionally quarantined in Dhaka for 14 days.
"
0,BARBADOS, -- published 17.04.2020,"Barbados (BGI) is closed. 
- This does not apply to Medevac flights, technical stops, and authorized flights, e.g. humanitarian aid.
"
0,BELARUS, --- published 04.05.2020,"A completed awareness questionnaire must be presented upon arrival and passengers must self-isolate for 14 days.
- This does not apply to passengers in transit. 
"
